# File: 1_F_steel_200R_F_5_6_finished_steel_production.csv
# Title: Finished steel production by IEDC region, 1900-2008
# Units: Gg
# Description: Finished steel production from steel forming to the finished steel market
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
488473,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1904,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488474,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1905,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488475,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1906,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488476,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1907,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488477,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1908,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488478,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1909,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488479,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1910,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488480,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1911,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488481,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1912,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488482,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1913,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488483,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1914,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488484,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1915,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488485,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1916,,,,,,0,Gg,yr,No uncertainty,,,,,,,
